,name,review,preprocessed_review
15,베스트인 시티 부산역,이런일이 처음이고 사진첨부하고싶은데 충격적이라 사진첩에 두기도 싫네요 객실 들어갔는데 욕조엔 여자 속옷 놓여져있었고 방 바꿔서 다른 객실 갔는데 치우지않은 맥주와 과자껍질이 놓여져있더라고요 쉬러간건데 기분만 너무 상했어요 직원분께서 확인하시고 깔끔한곳으로 다시 방 바꿔드렸지만요 청소하시는 분이 왜그러셨는지 침대만큼은 깔끔하게 정리 되어있던데 이젠 이불도 새걸로 바꾸는지안바꾸는지도 의심부터 들것같네요 앞으론 신경 좀 쓰셔야겠어요 말한마디로 충격적이고 소름돋았어요 다른 분들께서도 냄새로도 클레임 많이 쓰시는것같은데 냄새도 같이 신경써주셨으면 좋겠습니다  이런글 남기는것도 죄송드리지만 고칠거는 고쳐졌으면하는 마음입니다 더보기,이런 일이 처음이고 사진 첨부하고 싶은데 충격적이라 사진첩에 두기도 싫네요 객실 들어갔는데 욕조엔 여자 속옷 놓여있었고 방 바꿔서 다른 객실 갔는데 치우지 않은 맥주와 과자 껍질이 놓여있더라고요 쉬러 간 건데 기분만 너무 상했어요 직원분께서 확인하시고 깔끔한 곳으로 다시 방 바꿔드렸지만요 청소하시는 분이 왜 그러셨는지 침대만큼은 깔끔하게 정리되어 있던데 이젠 이불도 새 걸로 바꾸는지 안 바꾸는지도 의심부터 들 것 같네요 앞으론 신경 좀 쓰셔야겠어요 말 한마디로 충격적이고 소름 돋았어요 다른 분들께서도 냄새로도 클레임 많이 쓰시는 것 같은데 냄새도 같이 신경 써주셨으면 좋겠습니다  이런 글 남기는 것도 죄송 드리지만 고칠 거는 고쳐졌으면 하는 마음입니다 
16,베스트인 시티 부산역,마사지도받고 다좋았는데 추웠던게 아쉽네요,마사지도 받고 다 좋았는데 추웠던 게 아쉽네요
17,베스트인 시티 부산역,들어갈땐 엄청 추운데 좀 지나면 따뜻해서 좋아요,들어갈 땐 엄청 추운데 좀 지나면 따뜻해서 좋아요
18,베스트인 시티 부산역,패밀리룸이었는데 화장실 문 때문에 좀 당황했어요 나머지는 괜찮은 편이에요,패밀리룸이었는데 화장실 문 때문에 좀 당황했어요 나머지는 괜찮은 편이에요
19,베스트인 시티 부산역,시설이 좋고 깨끗합니다방은 작습니다다만 투숙하는 동안 사전공지 없이 일방적으로 내부공사를 하였습니다 이러한 부분은 개선되시기를 바랍니다더보기,시설이 좋고 깨끗합니다 방은 작습니다 다만 투숙하는 동안 사전 공지 없이 일방적으로 내부 공사를 하였습니다 이러한 부분은 개선되시기를 바랍니다 
20,베스트인 시티 부산역,친절하십니다 근데 욕조에 물이 너무 많이 새요 물이 받기지가 않아요 이거 수리 해야할득 해요 비슷한 후기 평가가 많네요 커튼이 브라인더 형이라 시각적으로 따뜻한 느낌은 덜하지만 중앙로에 면하고 있어도 외부 소음 차단은 괜찮네요,친절하십니다 근데 욕조에 물이 너무 많이 새요 물이 받기지가 않아요 이거 수리해야 할 득해요 비슷한 후기 평가가 많네요 커튼이 브라인도 형이라 시각적으로 따뜻한 느낌은 덜하지만 중앙로에 면하고 있어도 외부 소음 차단은 괜찮네요
21,베스트인 시티 부산역,초량역이랑 완전 가깝구요 부산역이랑도 도보로 1015분 정도 밖에 떨어져있지 않아요 방 완전 크고 깨끗하고 완전 좋았어요 근데 다만 단점은  어매니티에 로션이랑 스킨이 없었다는거 그거 말고는 다 만족스러웠어요,초량역이랑 정말 가깝고요 부산역이랑도 도보로 1015분 정도 밖에 떨어져 있지 않아요 방 정말 크고 깨끗하고 정말 좋았어요 근데 다만 단점은  어메니티에 로션이랑 스킨이 없었다는 거 그거 말고는 다 만족스러웠어요
22,베스트인 시티 부산역,물이 잘 안 빠지는거 말고는 아늑하고 괜찮았습니다,물이 잘 안 빠지는 거 말고는 아늑하고 괜찮았습니다
23,베스트인 시티 부산역,화장실 하수구 냄새가 좀 나는것 말고는 편하고 좋아요,화장실 하수구 냄새가 좀 나는 것 말고는 편하고 좋아요
24,베스트인 시티 부산역,무료 업그레이드 감사합니다 시설도 청결하고 너무 잘쉬다갑니다,무료 업그레이드 감사합니다 시설도 청결하고 너무 잘 쉬다 갑니다
25,베스트인 시티 부산역,깨끗한 곳이었습니다밤에 창문을 열면 시끄럽습니다애어컨 잘됩니다조식은 토스트 쨈 버터 쥬스 우유 시리얼입니다이층 침대 사용하려고 갔는데프론트에서 바꿔줘서 아쉬웠습니다더보기,깨끗한 곳이었습니다 밤에 창문을 열면 시끄럽습니다 에어컨 잘 됩니다 조식은 토스트 쨈 버터 주스 우유 시리얼입니다 이층 침대 사용하려고 갔는데 프런트에서 바꿔줘서 아쉬웠습니다 
26,베스트인 시티 부산역,첫번째 주셨던 방에 변기커버가 금이가있었고 벽지랑 샤워 하수구 마감이 별로였어요 그래서 바꿔달라고 요청했는데 금방 바꿔주셨어요 두번째 방은 벽지 조금 더러운거 말고는 괜찮았습니다직원분의 서비스는 친절하지만 객실의 정비가 필요할것같습니다,첫 번째 주셨던 방에 변기커버가 금이 가있었고 벽지랑 샤워 하수구 마감이 별로였어요 그래서 바꿔달라고 요청했는데 금방 바꿔주셨어요 두 번째 방은 벽지 조금 더러운 거 말고는 괜찮았습니다 직원분의 서비스는 친절하지만 객실의 정비가 필요할 것 같습니다
27,베스트인 시티 부산역,너무 더러워요 욕조에 물받다가 몸담그지도안고 물식어서 욕조물뺏더니 테두리에 검은때가무슨 하수구물로 씻는건가요 밤새 하수구냄세맡으며 잣네요 글타고 화장실문닫으면 볼일보러 문열면 썩은내 개나고 옆방에도 이상한 쿵쿵대는 소리도들리고 재수업게 4층은 보통업던데 깨름칙하고 그랫어여 침대 진드기때문인지 밤새 가렵고먼지가 느껴젓음 무슨호텔인지 페가인지 알수업엇다공포그자체,너무 더러워요 욕조에 물 받다가 몸 담그지도 않고 물 식어서 욕조 물 뺏더니 테두리에 검은 때가 무슨 하수구 물로 씻는 건가요 밤새 하수구 냄새 맡으며 잣네요 그렇다고 화장실 문 닫으면 볼일 보러 문 열면 썩은 내 개나고 옆방에도 이상한 쿵쿵대는 소리도 들리고 재수 업게 4층은 보통 업던데 께름칙하고 그랬어요 침대 진드기 때문인지 밤새 가렵고 먼지가 느껴졌음 무슨 호텔인지 페가인지 알 수업 얻다 공포 그 자체
28,베스트인 시티 부산역,직원분들도 친절하시고 조식도 맛있고 부산갈때마다 들르는 최애호텔입니다 다음에 또 이용하겠습니다 감사합니다,직원분들도 친절하시고 조식도 맛있고 부산 갈 때마다 들르는 최애 호텔입니다 다음에 또 이용하겠습니다 감사합니다
29,베스트인 시티 부산역,진짜 너무 좋아요 부산올때 여기만 와요 가성비 짱,진짜 너무 좋아요 부산 올 때 여기만 와요  구성비  짱
30,베스트인 시티 부산역,부산올때마다 오는곳입니다 친절하고 너무좋아요,부산 올 때마다 오는 곳입니다 친절하고 너무 좋아요
31,베스트인 시티 부산역,모텔 가서 자는 게 나을 것 같네요 이게 호텔인가요 직원분들 친절한 건 좋지만 시설 상태는 최악이네요 벽지에 낙서 투성이고 어메니티도 거의 없고 전혀 호텔이라고 볼 수 없는 수준이네요 심지어 큰 길가에 있는데 방음도 전혀 안 되서 시끄러워 잠도 제대로 못 잤네요 먼 지역에서 모처럼 쉬려고 왔는데 그냥 2만원 더 내고 좋은 호텔로 갈 걸 그랬어요 아니면 차라리 모텔 갔으면 훨씬 쾌적하고 시설도 좋았을 듯,모텔 가서 자는 게 나을 것 같네요 이게 호텔인가요 직원분들 친절한 건 좋지만 시설 상태는 최악이네요 벽지에 낙서투성이고 어메니티도 거의 없고 전혀 호텔이라고 볼 수 없는 수준이네요 심지어 큰 길가에 있는데 방음도 전혀 안 돼서 시끄러워 잠도 제대로 못 잤네요 먼 지역에서 모처럼 쉬려고 왔는데 그냥 2만 원 더 내고 좋은 호텔로 갈 걸 그랬어요 아니면 차라리 모텔 갔으면 훨씬 쾌적하고 시설도 좋았을 듯
32,베스트인 시티 부산역,침구 깨끗하고 청소상태도 좋았어요 불편한것 하나없이 잘 쉬다왔어요,침구 깨끗하고 청소상태도 좋았어요 불편한 것 하나 없이 잘 쉬다 왔어요
33,베스트인 시티 부산역,숙소 깔끔 바디워시 샴푸 린스 다 괜찮은거 구비해 두신 것 같아요폼클렌징은 가져가야해욤 침대도 푹신하구 청결하구 1층에 편의점도 있어서 좋았어요 직원분도 엄청 친절하셨어요,숙소 깔끔 보디워시 샴푸 린스 다 괜찮은 거 구비해 두신 것 같아요 폼클렌징은 가져가야 해요 침대도 푹신하고 청결하고 1층에 편의점도 있어서 좋았어요 직원분도 엄청 친절하셨어요
34,베스트인 시티 부산역,초량역에서 엄청 가깝고호텔앞에 버스정류장도 있어서 교통편은 괜찮은데세면대도 고장나있고세면대 물이 너무 약하게 나와요체크인도 늦게하고방바꾸기도 귀찮아서 그냥 잤어요욕조쪽 샤워대는 물이 잘 나와서 거기서 간단한 세면했어요직원분들도 친절하고다 좋았는데시설관리는 제대로 안하시나봐요화장실 냄새가 있다는 글을 그냥 지나쳐봤는데관리 좀 하셔야 할것 같습니다더보기,초량역에서 엄청 가깝고 호텔 앞에 버스정류장도 있어서 교통 편은 괜찮은데 세면대도 고장 나있고 세면대 물이 너무 약하게 나와요 체크인도 늦게 하고 방 바꾸기도 귀찮아서 그냥 잤어요 욕조 쪽 샤워 대는 물이 잘 나와서 거기서 간단한 세면했어요 직원분들도 친절하고다 좋았는데 시설관리는 제대로 안 하시나 봐요 화장실 냄새가 있다는 글을 그냥 지나쳐봤는데 관리 좀 하셔야 할 것 같습니다 
35,베스트인 시티 부산역,위치가 부산 곳곳 움직이기 편해요저희가 묵은곳은 2층 침대있는 비지니스룸 이었는데실용적이였어요 객실자체도 깔끔하구요1층에 편의점 있어서 편하게 이용했어요가성비가 너무 좋아서 그런지 가족단위 숙박객들도 여럿 보이시더라구요 혹시 또 부산가게 된다면 묵고싶어요더보기,위치가 부산 곳곳 움직이기 편해요 저희가 묵은 곳은 2층 침대 있는 비즈니스룸이었는데 실용적이었어요 객실 자체도 깔끔하고요 1층에 편의점 있어서 편하게 이용했어요 구성비 가 너무 좋아서 그런지 가족단위 숙박객들도 여럿 보이시더라고요 혹시 또 부산 가게 된다면 묵고 싶어요 
36,베스트인 시티 부산역,초량역 바로 근처에 위치해서 부산역하고 가까워서 좋습니다숙소도 깔끔하고 옆방에 사람이 없던 것 처럼 조용했어요 수압도 쎄서 좋았고 드라이기 바람도 정말 맘에들었습니다 이 가격에 이런숙소 못구할거같아요 재방문의사 있습니다,초량역 바로 근처에 위치해서 부산 역하고 가까워서 좋습니다 숙소도 깔끔하고 옆방에 사람이 없던 것처럼 조용했어요 수압도 세서 좋았고 드라이기 바람도 정말 맘에 들었습니다 이 가격에 이런 숙소 못 구할 거 같아요 재방문의 사 있습니다
37,베스트인 시티 부산역,객실이 깔끔한편이고 초량역 부산역과 가까워 좋았습니다,객실이 깔끔한 편이고 초량역 부산역과 가까워 좋았습니다
38,베스트인 시티 부산역,친구랑 부산에 놀러갔다가 1박 하게 됐었는데 둘 다 만족했던 숙소입니다❣침구류도 깨끗했고 친절하셨어요 다음에 가도 또 이용할것같아요지하철역에서 넘넘 가깝고 좋습니다더보기,친구랑 부산에 놀러 갔다가 1박 하게 됐었는데 둘 다 만족했던 숙소입니다❣침구류도 깨끗했고 친절하셨어요 다음에 가도 또 이용할 것 같아요 지하철역에서 넘넘 가깝고 좋습니다 
39,베스트인 시티 부산역,친절하시고 방도 바꿔주시고 너무 좋았어요 1층에 편의시설 바로 있고 역이랑도 가깝고 조용하고 깔끔해요,친절하시고 방도 바꿔주시고 너무 좋았어요 1층에 편의시설 바로 있고 역이랑도 가깝고 조용하고 깔끔해요
40,베스트인 시티 부산역,부산역 근처 맛집 섭렵양지아구찜  초량밀면  돼지국밥,부산역 근처 맛집 섭렵 양지 아귀찜  초량 밀면  돼지국밥
41,베스트인 시티 부산역,미리 예약했더니 3박에 75000원봄특가할인30000원 대박대실없이숙박만운영해서좋음,미리 예약했더니 3박에 75000원 봄 특가 할인 30000원 대박 대실 없이 숙박만 운영해서 좋음
42,베스트인 시티 부산역,많이 불편하고 덥고 편히쉬지 못한 하루 보냈음,많이 불편하고 덥고 편히 쉬지 못한 하루 보냈음
43,베스트인 시티 부산역,직원분들 좋으시고 객실도 편안하긴한데 모기핏자국,직원분들 좋으시고 객실도 편안하긴 한데 모기 핏자국
44,베스트인 시티 부산역,친절하고 편하고 다좋은데 핏자국모기 핏자국,친절하고 편하고 다 좋은데 핏자국 모기 핏자국
45,베스트인 시티 부산역,부산에 갈때마다 항상 머무는 곳 위치 가격 다 좋습니다,부산에 갈 때마다 항상 머무는 곳 위치 가격 다 좋습니다
46,베스트인 시티 부산역,시설 청결 서비스 가격 다 좋았어요 심지어 1층에 편의점도 있어서 너무 편하고 좋았구요 다음에 부산 놀러가도 여기도 숙박할꺼 같아요,시설 청결 서비스 가격 다 좋았어요 심지어 1층에 편의점도 있어서 너무 편하고 좋았고요 다음에 부산 놀러 가도 여기도 숙박할 거 같아요
47,베스트인 시티 부산역,도로가에 위치 하여 차소리에 자다 몇번 깼네요주변 맛집많아 위치 좋아요,도로가에 위치하여 차소리에 자다 몇 번 깼네요 주변 맛 집 많아 위치 좋아요
48,베스트인 시티 부산역,여름이고 부산인데도 바닷가가 아니라 초량역 인근을 택한 이유는 조용하고 깨끗한 곳에서 쉬고 동네 산책이나 하고 맛있는 것 먹고 싶었기 때문인데요 거의 완벽에 가깝게 잘 한 선택이라고 생각합니다 3박 연박했는데 매일 청소 잘 해주셧고 물 수건 어느하나 부족한 점 없었습니다 호텔 숙박이 늘 좋은 일만 있을 수는 없는데 메이드의 실수나 소란스러운 옆방 등의 문제가 생겼을 때 정석에 가까운 대처를 해주신 직원분들 덕분에 오히려 평점이 플러스 됏습니다 여기가 좋은 곳인 거 비밀로 하고싶지만 정말 좋았기 때문에 후기 남깁니다 다만 비오는 날은 냄새가 좀 올라와서 시설 관련 부분 별 하나씩 뺐습니다 잘 쉬고갑니다더보기,여름이고 부산인데도 바닷가가 아니라 초량역 인근을 택한 이유는 조용하고 깨끗한 곳에서 쉬고 동네 산책이나 하고 맛있는 것 먹고 싶었기 때문인데요 거의 완벽에 가깝게 잘 한 선택이라고 생각합니다 3박 연방했는데 매일 청소 잘 해주셨고 물 수건 어느 하나 부족한 점 없었습니다 호텔 숙박이 늘 좋은 일만 있을 수는 없는데 메이드의 실수나 소란스러운 옆방 등의 문제가 생겼을 때 정석에 가까운 대처를 해주신 직원분들 덕분에 오히려 평점이 플러스됐습니다 여기가 좋은 곳인 거 비밀로 하고 싶지만 정말 좋았기 때문에 후기 남깁니다 다만 비 오는 날은 냄새가 좀 올라와서 시설 관련 부분 별 하나씩 뺐습니다 잘 쉬고 갑니다 
49,베스트인 시티 부산역,교통 편리하고 깔끔하고 친절해서 좋았어요,교통 편리하고 깔끔하고 친절해서 좋았어요
50,베스트인 시티 부산역,조아요조앚조아조아쪼아쪼아쪼아쪼아 쪼아쪼아쪼아쪼아 쪼아쪼아쪼아쪼아더보기,조아요조앚조아조아쪼아쪼아쪼아쪼아 쪼아쪼아쪼아쪼아 쪼아 쪼아 쪼아 쪼아 
51,베스트인 시티 부산역,가격 괜찮길래  갔는데 도착해서 체크인받고 하시는말이 가격일부러 내려놓은거라고 사람들안올까봐 싸게 내놓은거래요 저희 밤에왔다가 나가야하는줄알았네요 다음부터 안그랬으면 좋겠네요 코로나 핑계로 가격낮게해놓고 외국인한테 사기치는거같은데 인간적으로 그렇게하지마세요 그리고 복도에서 담배냄새 엄청심하고 객실도 머리카락 막 떨어져있고 청소를 대충했나봐여 그냥 맘에안들고 짜증났어요,가격 괜찮길래  갔는데 도착해서 체크인 받고 하시는 말이 가격 일부러 내려놓은 거라고 사람들 안 올까 봐 싸게 내놓은 거래요 저희 밤에 왔다가 나가야 하는 줄 알았네요 다음부터 안 그랬으면 좋겠네요 코로나 핑계로 가격 낮게 해놓고 외국인한테 사기 치는 거 같은데 인간적으로 그렇게 하지 마세요 그리고 복도에서 담배 냄새 엄청 심하고 객실도 머리카락 막 떨어져 있고 청소를 대충 했나 봐요 그냥 맘에 안 들고 짜증 났어요
52,베스트인 시티 부산역,저렴한가격에 편히 쉬다왔어요 다만 핸드폰 충전기와 스킨로션이 비치되어있지않아 별한개빼요,저렴한 가격에 편히 쉬다 왔어요 다만 핸드폰 충전기와 스킨로션이 비치되어 있지 않아 별 한 개 빼요
53,베스트인 시티 부산역,일단 초량역 앞에있어서 접근성 짱짱이고 시설도 청결하니 좋아요 조식을 제공한다는점도 장점이고 이용시 타이마사지 할인이 되는것도 좋아요 특히 타이마사지 진짜 좋아서 다음에 여기 다시오고싶네요,일단 초량역 앞에 있어서 접근성 짱짱이고 시설도 청결하니 좋아요 조식을 제공한다는 점도 장점이고 이용 시 타이마사지 할인이 되는 것도 좋아요 특히 타이마사지 진짜 좋아서 다음에 여기 다시 오고 싶네요
54,베스트인 시티 부산역,잘쉬긴했는데 욕실화장실휴지걸이가 말썽,잘 쉬긴 했는데 욕실 화장실 휴지걸이가 말썽
55,베스트인 시티 부산역,예상치못한 토스트 조식까지너무 좋았어요,예상치 못한 토스트 조식까지 너무 좋았어요
56,베스트인 시티 부산역,갈때마다 만족 특히나 마사지랑 함께 이용하는건 최고,갈 때마다 만족 특히나 마사지랑 함께 이용하는 건 최고
57,베스트인 시티 부산역,역 바로 앞이라 너무 좋았고 가성비 최고 주말에 절대 맛볼 수 없는 가격으로 다녀왔습니다 넘넘 만족해용,역 바로 앞이라 너무 좋았고  구성비  최고 주말에 절대 맛볼 수 없는 가격으로 다녀왔습니다 넘넘 만족해요
58,베스트인 시티 부산역,욕실에서 목욕하는데 온수가 잘나와서 좋았어요하지만 모기가 많았고 TV화질도 안좋고 영화를 보고싶었는데 그냥 기본무료 영화밖에 보질 못하네요 컴퓨터나 TV 월정액 가입같은 걸 하여 더 많은 편리함과 즐거움을 주었으면 좋겠습니당 호텔이 아니라 일발 모텔같은 느낌이였어요,욕실에서 목욕하는데 온수가 잘 나와서 좋았어요 하지만 모기가 많았고 TV 화질도 안 좋고 영화를 보고 싶었는데 그냥 기본 무료 영화밖에 보질 못하네요 컴퓨터나 TV 월 정액 가입 같은 걸 하여 더 많은 편리함과 즐거움을 주었으면 좋겠습니다 호텔이 아니라 일발 모텔 같은 느낌이었어요
59,베스트인 시티 부산역,초량역에서 정말 한 일분 그 뒤에 맛집들도 많고 좋았습니다,초량역에서 정말 한 일분 그 뒤에 맛 집들도 많고 좋았습니다
60,베스트인 시티 부산역,마사지 이벤트 예약했는데 마사지도 좋고 숙소도 좋았습니다,마사지 이벤트 예약했는데 마사지도 좋고 숙소도 좋았습니다
61,베스트인 시티 부산역,시설이 깔끔하고 특히 화장실이 넓어서 좋았습니다,시설이 깔끔하고 특히 화장실이 넓어서 좋았습니다
62,베스트인 시티 부산역,2박3일 있었는데 역도 가까고 교통편이 좋았어요,2박 3일 있었는데 역도 구까고 교통 편이 좋았어요
63,베스트인 시티 부산역,지금 묵고있는중인데  바퀴벌레 나왔어요그거말고는 친절하고 좋아요 ,지금 묵고 있는 중인데  바퀴벌레 나왔어요 그거 말고는 친절하고 좋아요 
64,베스트인 시티 부산역,다른건 다괜찮았는데 화장실청소가 제대로 안되어있었어요욕실 바닥이 미끄럽고 욕조는 하수구에 머리카락이라 여러이물질들이 끼어있어 물이 내려가지도 않았습니다그리고 환풍시설이 안되어있고 하수구냄새가 계속올라와서 화장실문을닫아도 힘들었어요,다른 건 다 괜찮았는데 화장실 청소가 제대로 안 되어있었어요 욕실 바닥이 미끄럽고 욕조는 하수구에 머리카락이라 여러 이물질들이 끼어있어 물이 내려가지도 않았습니다 그리고 환풍시설이 안 되어있고 하수구 냄새가 계속 올라와서 화장실 문을 닫아도 힘들었어요
65,베스트인 시티 부산역,저렴한가격에 깨끗한곳에서 잘머물다갑니다,저렴한 가격에 깨끗한 곳에서 잘 머물다 갑니다
66,베스트인 시티 부산역,숙소 벽면이랑 침대에 얼룩이 남아있는거 빼고는 괜찮았습니다,숙소 벽면이랑 침대에 얼룩이 남아있는 거 빼고는 괜찮았습니다
67,베스트인 시티 부산역,리뷰보고 걱정많이했는데 와 너무좋았어요 방도 되게크고 욕실도 엄청크고 깨끗하고 좋아요,리경치 보고 걱정 많이 했는데 와 너무 좋았어요 방도 되게 크고 욕실도 엄청 크고 깨끗하고 좋아요
68,베스트인 시티 부산역,객실 들어갔는데 벽이 진짜 더러웠고 곰팡이도 있었어요 침대에 머리 카락도 많아서 객실을 바꿨는데도 청소를 제대로 안한건지 침대에 부스러기랑 머리카락이 있었네요 또 온도를 올려도 추워서 잠을 제대로 못잤어요,객실 들어갔는데 벽이 진짜 더러웠고 곰팡이도 있었어요 침대에 머리카락도 많아서 객실을 바꿨는데도 청소를 제대로 안 한 건지 침대에 부스러기랑 머리카락이 있었네요 또 온도를 올려도 추워서 잠을 제대로 못 잤어요
69,베스트인 시티 부산역,너무 추웠어요 바닥이 얼음장이고 공기는 차갑고 보일러 틀어달라고 했는데 1시간 반이 지나도 안 따뜻해지더니 전화 세 통 걸고나니까 더워지더라구요 세면대는 침대 마주보는 자리에 웬 씽크대처럼 배관까지 다 보이도록 흉측하게 있고 뒷벽에 빼곡하던 물곰팡이는 정말 정말 별로였어요 싼 이유가 있어요,너무 추웠어요 바닥이 얼음장이고 공기는 차갑고 보일러 틀어달라고 했는데 1시간 반이 지나도 안 따뜻해지더니 전화 세 통 걸고 나니까 더워지더라고요 세면대는 침대 마주 보는 자리에 웬 싱크대처럼 배관까지 다 보이도록 흉측하게 있고 뒷벽에 빼곡하던 물곰팡이는 정말 정말 별로였어요 싼 이유가 있어요
70,베스트인 시티 부산역,생각보다 객실 넓었고 물 수압이 좋았어요 빗에 머리카락이 너무 많아서 휴지로 떼고 쓰긴 했는데 찝찝했어요  외에는 베딩도 깔끔하고 위치도 좋았어요 코로나때문에 밑에있는 편의점 새벽에는 안하는거같더라구요 참고하세요 ,생각보다 객실 넓었고 물 수압이 좋았어요 빗에 머리카락이 너무 많아서 휴지로 떼고 쓰긴 했는데 찝찝했어요  외에는 베딩도 깔끔하고 위치도 좋았어요 코로나 때문에 밑에 있는 편의점 새벽에는 안 하는 거 같더라고요 참고하세요 
71,베스트인 시티 부산역,코로나 때문인지 조식포함 패키지인데도 조식이 안되네요Front안내문에는 축소운영이라고 써있는데 실제는 미운영객실에 비해 욕실이 필요이상 넓네요,코로나 때문인지 조식 포함 패키지인데도 조식이 안 되네요 Front 안내문에는 축소 운영이라고 쓰여있는데 실제는 미운영 객실에 비해 욕실이 필요 이상 넓네요
72,베스트인 시티 부산역,객실에 비해서 욕실이 너무 커서 비효율적인듯 합니다전반적으로 Good,객실에 비해서 욕실이 너무 커서 비효율적인듯합니다 전반적으로 Good
